Município,CÓDIGO,NOME,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,SOMA,SUBTRAÇÃO,MÉDIA
250820 LAGOA DE DENTRO,,,-,-,-,-,-,-,-,-,,,
250830 LAGOA SECA,,,4,-,6,6,4,1,3,3,,,
250840 LASTRO,,,-,-,-,-,-,-,-,-,,,
250850 LIVRAMENTO,,,-,-,-,-,-,-,-,-,,,
250855 LOGRADOURO,,,-,-,-,-,-,-,-,-,,,
250860 LUCENA,,,-,-,-,-,-,-,-,-,,,
250870 MAE D'AGUA,,,-,-,-,-,-,-,-,-,,,
250880 MALTA,,,-,-,-,-,-,-,-,-,,,
250890 MAMANGUAPE,,,24,44,31,28,36,25,16,13,,,
250900 MANAIRA,,,-,-,-,-,-,-,-,-,,,
250905 MARCACAO,,,-,-,-,-,-,-,-,-,,,
250910 MARI,,,-,-,-,-,-,-,-,-,,,
250915 MARIZOPOLIS,,,-,-,-,-,-,-,-,-,,,
250920 MASSARANDUBA,,,2,2,-,-,-,-,-,-,,,
250930 MATARACA,,,-,-,-,-,-,-,-,-,,,
250933 MATINHAS,,,-,-,-,-,-,-,-,-,,,
250937 MATO GROSSO,,,-,-,-,-,-,-,-,-,,,
250939 MATUREIA,,,-,-,-,-,-,-,-,-,,,
250940 MOGEIRO,,,-,-,-,-,-,-,-,-,,,
250950 MONTADAS,,,-,-,-,-,-,-,-,-,,,
250960 MONTE HOREBE,,,-,-,-,-,-,-,-,-,,,
250970 MONTEIRO,,,21,42,47,17,14,12,21,12,,,
250980 MULUNGU,,,-,-,-,-,-,-,-,-,,,
250990 NATUBA,,,-,-,-,-,-,-,-,-,,,
251000 NAZAREZINHO,,,-,-,-,-,-,-,-,-,,,
251010 NOVA FLORESTA,,,-,-,-,-,-,-,-,-,,,
251020 NOVA OLINDA,,,-,-,-,-,-,-,-,-,,,
251030 NOVA PALMEIRA,,,-,-,-,-,-,-,-,-,,,
251040 OLHO D'AGUA,,,-,-,-,-,-,-,-,-,,,
251050 OLIVEDOS,,,-,-,-,-,-,-,-,-,,,
251060 OURO VELHO,,,-,-,-,-,-,-,-,-,,,
251065 PARARI,,,-,-,-,-,-,-,-,-,,,
251070 PASSAGEM,,,-,-,-,-,-,-,-,-,,,
251080 PATOS,,,84,58,74,55,82,68,58,31,,,
251090 PAULISTA,,,5,9,1,1,5,16,11,1,,,
251100 PEDRA BRANCA,,,-,-,-,-,-,-,-,-,,,
251110 PEDRA LAVRADA,,,-,3,4,2,5,-,1,-,,,
251120 PEDRAS DE FOGO,,,12,4,2,6,6,4,6,3,,,
251130 PIANCO,,,12,7,10,10,17,4,23,-,,,
251140 PICUI,,,6,7,9,6,5,9,5,1,,,
251150 PILAR,,,-,-,-,-,-,-,-,-,,,
251160 PILOES,,,-,-,-,-,-,-,-,-,,,
251170 PILOEZINHOS,,,-,-,-,-,-,-,-,-,,,
251180 PIRPIRITUBA,,,-,-,-,-,-,-,-,-,,,
251190 PITIMBU,,,-,-,-,-,-,-,-,-,,,
251200 POCINHOS,,,1,1,5,5,8,14,19,8,,,
251203 POCO DANTAS,,,-,-,-,-,-,-,-,-,,,
251207 POCO DE JOSE DE MOURA,,,-,-,-,-,-,-,-,-,,,
251210 POMBAL,,,4,7,6,13,11,7,4,1,,,
251220 PRATA,,,-,-,-,-,-,-,-,-,,,
251230 PRINCESA ISABEL,,,4,4,3,5,2,3,4,-,,,
251240 PUXINANA,,,-,-,-,-,-,-,-,-,,,
251250 QUEIMADAS,,,8,5,5,4,9,4,5,2,,,
251260 QUIXABA,,,-,-,-,-,-,-,-,-,,,
251270 REMIGIO,,,-,-,-,-,-,-,-,-,,,
251272 PEDRO REGIS,,,-,-,-,-,-,-,-,-,,,
251274 RIACHAO,,,-,-,-,-,-,-,-,-,,,
251275 RIACHAO DO BACAMARTE,,,-,-,-,-,-,-,-,-,,,
251276 RIACHAO DO POCO,,,-,-,-,-,-,-,-,-,,,
251278 RIACHO DE SANTO ANTONIO,,,-,-,-,-,-,-,-,-,,,
251280 RIACHO DOS CAVALOS,,,-,-,-,-,-,-,-,-,,,
251290 RIO TINTO,,,-,-,-,-,-,-,-,-,,,
251300 SALGADINHO,,,-,-,-,-,-,-,-,-,,,
251310 SALGADO DE SAO FELIX,,,-,-,-,-,-,-,-,-,,,
251315 SANTA CECILIA,,,-,-,-,-,-,-,-,-,,,
251320 SANTA CRUZ,,,-,-,-,-,-,-,-,-,,,
251330 SANTA HELENA,,,-,-,-,-,-,-,-,-,,,
251335 SANTA INES,,,-,-,-,-,-,-,-,-,,,
251340 SANTA LUZIA,,,-,3,4,-,-,-,-,-,,,
251350 SANTANA DE MANGUEIRA,,,-,-,-,-,-,-,-,-,,,
251360 SANTANA DOS GARROTES,,,-,-,-,-,-,-,-,-,,,
251365 JOCA CLAUDINO,,,-,-,-,-,-,-,-,-,,,
251370 SANTA RITA,,,83,104,17,19,27,31,37,18,,,
251380 SANTA TERESINHA,,,-,-,-,-,-,-,-,-,,,
251385 SANTO ANDRE,,,-,-,-,-,-,-,-,-,,,
251390 SAO BENTO,,,11,2,3,5,6,6,1,-,,,
251392 SAO BENTINHO,,,-,-,-,-,-,-,-,-,,,
251394 SAO DOMINGOS DO CARIRI,,,-,-,-,-,-,-,-,-,,,
251396 SAO DOMINGOS,,,-,-,-,-,-,-,-,-,,,
251398 SAO FRANCISCO,,,-,-,-,-,-,-,-,-,,,
251400 SAO JOAO DO CARIRI,,,-,-,-,-,-,-,-,-,,,
251410 SAO JOAO DO TIGRE,,,-,-,-,-,-,-,-,-,,,
251420 SAO JOSE DA LAGOA TAPADA,,,-,-,-,-,-,-,-,-,,,
251430 SAO JOSE DE CAIANA,,,-,-,-,-,-,-,-,-,,,
251440 SAO JOSE DE ESPINHARAS,,,-,-,-,-,-,-,-,-,,,
251445 SAO JOSE DOS RAMOS,,,-,-,-,-,-,-,-,-,,,
251450 SAO JOSE DE PIRANHAS,,,4,-,2,2,-,1,-,-,,,
251455 SAO JOSE DE PRINCESA,,,-,-,-,-,-,-,-,-,,,
251460 SAO JOSE DO BONFIM,,,-,-,-,-,-,-,-,-,,,
251465 SAO JOSE DO BREJO DO CRUZ,,,-,-,-,-,-,-,-,-,,,
251470 SAO JOSE DO SABUGI,,,-,-,-,-,-,-,-,-,,,
251480 SAO JOSE DOS CORDEIROS,,,-,-,-,-,-,-,-,-,,,
251490 SAO MAMEDE,,,-,-,-,-,-,-,-,-,,,
251500 SAO MIGUEL DE TAIPU,,,-,-,-,-,-,-,-,-,,,
251510 SAO SEBASTIAO DE LAGOA DE ROCA,,,-,-,-,-,-,-,-,-,,,
251520 SAO SEBASTIAO DO UMBUZEIRO,,,-,-,-,-,-,-,-,-,,,
251530 SAPE,,,1,5,2,2,6,4,1,-,,,
251540 SAO VICENTE DO SERIDO,,,9,5,7,7,8,4,2,-,,,
251550 SERRA BRANCA,,,7,8,11,18,10,11,1,3,,,
251560 SERRA DA RAIZ,,,-,-,-,-,-,-,-,-,,,
251570 SERRA GRANDE,,,-,-,-,-,-,-,-,-,,,
251580 SERRA REDONDA,,,-,-,-,-,-,-,-,-,,,
251590 SERRARIA,,,-,-,-,-,-,-,-,-,,,
251593 SERTAOZINHO,,,-,-,-,-,-,-,-,-,,,
251597 SOBRADO,,,-,-,-,-,-,-,-,-,,,
251600 SOLANEA,,,62,60,81,54,52,19,25,19,,,
251610 SOLEDADE,,,4,5,4,1,1,-,-,-,,,
251615 SOSSEGO,,,-,-,-,-,-,-,-,-,,,
251620 SOUSA,,,17,24,29,18,4,-,-,-,,,
251630 SUME,,,8,7,7,5,7,6,3,2,,,
251640 TACIMA,,,-,-,-,-,-,-,-,-,,,
251650 TAPEROA,,,16,9,7,9,-,-,-,-,,,
251660 TAVARES,,,9,1,3,2,5,34,11,1,,,
251670 TEIXEIRA,,,-,-,-,-,-,-,-,-,,,
251675 TENORIO,,,-,-,-,-,-,-,-,-,,,
251680 TRIUNFO,,,-,-,-,-,-,-,-,-,,,
251690 UIRAUNA,,,54,57,47,52,56,58,52,51,,,
251700 UMBUZEIRO,,,-,-,-,-,-,-,-,-,,,
251710 VARZEA,,,-,-,-,-,-,-,-,-,,,
251720 VIEIROPOLIS,,,-,-,-,-,-,-,-,-,,,
251740 ZABELE,,,-,-,-,-,-,-,-,-,,,
260005 ABREU E LIMA,,,-,-,-,-,-,-,-,-,,,
260010 AFOGADOS DA INGAZEIRA,,,60,75,47,59,37,41,22,20,,,
260020 AFRANIO,,,6,2,-,-,-,-,-,-,,,
260030 AGRESTINA,,,8,19,7,9,9,3,-,-,,,
260040 AGUA PRETA,,,1,4,-,5,3,3,-,-,,,
260050 AGUAS BELAS,,,3,1,6,1,4,7,6,4,,,
260060 ALAGOINHA,,,-,1,-,1,2,2,2,-,,,
260070 ALIANCA,,,1,-,-,-,-,3,-,-,,,
260080 ALTINHO,,,1,1,1,-,-,-,-,-,,,
260090 AMARAJI,,,3,3,3,1,5,1,1,-,,,
260100 ANGELIM,,,2,2,3,3,-,3,-,-,,,
260105 ARACOIABA,,,-,-,-,-,-,-,-,-,,,
260110 ARARIPINA,,,143,92,75,43,67,68,53,14,,,
260120 ARCOVERDE,,,128,98,81,72,88,81,82,31,,,
260130 BARRA DE GUABIRABA,,,-,-,-,-,-,-,-,-,,,
260140 BARREIROS,,,9,5,1,4,3,-,-,-,,,
260150 BELEM DE MARIA,,,-,-,-,-,-,-,-,-,,,
260160 BELEM DE SAO FRANCISCO,,,1,1,5,1,3,3,3,-,,,
260170 BELO JARDIM,,,9,23,5,3,10,-,-,-,,,
260180 BETANIA,,,3,8,2,2,-,-,-,-,,,
260190 BEZERROS,,,84,57,73,45,42,43,34,3,,,
260200 BODOCO,,,9,10,2,1,-,2,4,3,,,
260210 BOM CONSELHO,,,1,4,3,2,2,-,-,-,,,
260220 BOM JARDIM,,,6,6,2,1,-,-,1,-,,,
260230 BONITO,,,1,4,2,5,3,1,4,2,,,
260240 BREJAO,,,5,3,3,6,1,2,-,-,,,
260250 BREJINHO,,,2,-,2,3,4,1,4,1,,,
260260 BREJO DA MADRE DE DEUS,,,4,6,5,1,-,8,-,-,,,
260270 BUENOS AIRES,,,-,-,-,-,-,-,-,-,,,
260280 BUIQUE,,,36,22,15,16,50,35,24,8,,,
260290 CABO DE SANTO AGOSTINHO,,,113,80,67,77,68,92,79,55,,,
260300 CABROBO,,,1,6,3,3,2,3,1,1,,,
260310 CACHOEIRINHA,,,6,9,-,2,3,5,5,8,,,
260320 CAETES,,,6,8,6,2,-,3,4,3,,,
260330 CALCADO,,,1,1,-,-,2,3,-,-,,,
260340 CALUMBI,,,2,2,4,1,2,1,-,-,,,
260345 CAMARAGIBE,,,-,-,-,-,-,-,-,-,,,
260350 CAMOCIM DE SAO FELIX,,,1,-,1,1,3,1,-,-,,,
260360 CAMUTANGA,,,8,2,-,-,1,-,2,-,,,
260370 CANHOTINHO,,,5,7,2,5,4,4,-,1,,,
260380 CAPOEIRAS,,,3,9,3,2,-,1,3,3,,,
260390 CARNAIBA,,,4,-,2,3,4,1,1,1,,,
260392 CARNAUBEIRA DA PENHA,,,3,2,1,2,3,-,-,-,,,
260400 CARPINA,,,2,5,3,7,5,4,1,-,,,
260410 CARUARU,,,567,420,266,299,300,330,164,156,,,
260415 CASINHAS,,,4,1,-,1,2,-,1,-,,,
260420 CATENDE,,,3,4,2,2,4,1,5,-,,,
260430 CEDRO,,,3,5,-,6,7,6,1,-,,,
260440 CHA DE ALEGRIA,,,-,-,-,-,-,-,-,-,,,
260450 CHA GRANDE,,,4,2,2,1,1,2,6,-,,,
260460 CONDADO,,,-,-,1,1,6,4,3,1,,,
260470 CORRENTES,,,1,2,2,3,1,4,-,-,,,
260480 CORTES,,,3,15,8,1,3,2,3,-,,,
260490 CUMARU,,,1,-,2,-,1,1,-,2,,,
260500 CUPIRA,,,4,2,1,-,5,3,1,1,,,
260510 CUSTODIA,,,13,19,6,6,5,-,-,-,,,
260515 DORMENTES,,,14,7,5,7,9,2,4,-,,,
260520 ESCADA,,,6,11,6,7,7,8,3,8,,,
260530 EXU,,,10,12,8,3,7,5,3,-,,,
260540 FEIRA NOVA,,,-,-,-,1,1,2,2,-,,,
260545 FERNANDO DE NORONHA,,,1,-,2,-,1,-,4,-,,,
260550 FERREIROS,,,-,-,-,-,-,-,-,-,,,
260560 FLORES,,,1,8,5,2,6,3,1,1,,,
260570 FLORESTA,,,9,7,11,7,5,17,7,-,,,
260580 FREI MIGUELINHO,,,-,1,-,3,1,1,-,-,,,
260590 GAMELEIRA,,,-,2,1,1,-,-,1,-,,,
260600 GARANHUNS,,,133,128,62,45,42,65,84,33,,,
260610 GLORIA DO GOITA,,,-,-,1,1,1,1,1,-,,,
260620 GOIANA,,,51,74,34,32,38,39,44,36,,,
260630 GRANITO,,,3,3,1,1,2,4,3,-,,,
260640 GRAVATA,,,43,29,11,12,9,3,5,4,,,
260650 IATI,,,-,3,3,1,4,1,5,1,,,
260660 IBIMIRIM,,,2,3,3,2,7,4,7,3,,,
260670 IBIRAJUBA,,,-,-,-,-,-,-,-,-,,,
260680 IGARASSU,,,1,-,-,2,-,1,1,-,,,
260690 IGUARACY,,,1,2,1,-,1,-,-,1,,,
260700 INAJA,,,-,-,-,4,1,3,7,-,,,
260710 INGAZEIRA,,,-,-,-,2,1,1,-,-,,,
260720 IPOJUCA,,,9,-,-,-,-,-,-,-,,,
260730 IPUBI,,,8,8,4,-,-,-,-,-,,,
260740 ITACURUBA,,,-,-,-,1,-,-,-,-,,,
260750 ITAIBA,,,9,9,3,5,-,3,-,-,,,
260760 ILHA DE ITAMARACA,,,-,-,-,-,-,-,-,-,,,
260765 ITAMBE,,,5,7,-,-,-,-,-,-,,,
260770 ITAPETIM,,,-,-,-,-,-,-,-,-,,,
260775 ITAPISSUMA,,,-,-,-,-,-,-,-,-,,,
260780 ITAQUITINGA,,,1,-,1,-,-,1,-,-,,,
260790 JABOATAO DOS GUARARAPES,,,257,196,212,234,199,219,226,150,,,
260795 JAQUEIRA,,,-,-,1,4,2,7,3,2,,,
260800 JATAUBA,,,2,7,1,-,2,4,8,1,,,
260805 JATOBA,,,5,-,-,-,-,-,-,-,,,
260810 JOAO ALFREDO,,,12,7,6,4,3,1,-,-,,,
260820 JOAQUIM NABUCO,,,-,-,-,-,-,-,-,-,,,
260825 JUCATI,,,5,1,-,-,-,1,-,-,,,
260830 JUPI,,,1,1,2,4,1,3,-,-,,,
260840 JUREMA,,,-,2,-,1,-,-,-,-,,,
260845 LAGOA DO CARRO,,,2,-,-,-,-,-,-,-,,,
260850 LAGOA DE ITAENGA,,,1,-,-,-,1,-,-,-,,,
260860 LAGOA DO OURO,,,3,3,1,1,2,2,1,-,,,
260870 LAGOA DOS GATOS,,,-,-,-,-,-,-,1,-,,,
260875 LAGOA GRANDE,,,2,3,1,3,-,1,-,-,,,
260880 LAJEDO,,,7,7,10,15,7,6,10,-,,,
260890 LIMOEIRO,,,68,60,32,38,29,37,52,19,,,
260900 MACAPARANA,,,1,1,1,1,2,3,1,2,,,
260910 MACHADOS,,,-,1,-,-,-,-,-,-,,,
260915 MANARI,,,2,9,4,2,5,4,3,5,,,
260920 MARAIAL,,,-,-,-,-,-,-,-,-,,,
260930 MIRANDIBA,,,5,5,4,1,-,5,1,1,,,
260940 MORENO,,,31,30,34,34,44,34,52,26,,,
260950 NAZARE DA MATA,,,8,9,14,18,11,12,11,7,,,
260960 OLINDA,,,324,174,51,40,41,53,44,22,,,
260970 OROBO,,,1,7,3,2,2,1,5,3,,,
260980 OROCO,,,2,6,2,1,-,1,-,-,,,
260990 OURICURI,,,43,47,31,29,19,17,10,7,,,
261000 PALMARES,,,163,103,80,80,73,67,83,43,,,
261010 PALMEIRINA,,,-,-,2,1,-,-,2,-,,,
261020 PANELAS,,,3,2,2,3,2,2,4,-,,,
261030 PARANATAMA,,,2,3,2,9,10,3,5,3,,,
261040 PARNAMIRIM,,,10,9,6,8,5,4,11,6,,,
261050 PASSIRA,,,-,2,1,-,-,-,-,-,,,
261060 PAUDALHO,,,-,-,-,-,-,-,-,-,,,
261070 PAULISTA,,,136,68,74,69,61,107,72,55,,,
261080 PEDRA,,,2,3,1,1,2,1,2,-,,,
261090 PESQUEIRA,,,20,17,14,13,15,19,22,6,,,
261100 PETROLANDIA,,,15,12,6,4,3,10,20,2,,,
261110 PETROLINA,,,110,112,52,33,38,63,69,22,,,
261120 POCAO,,,-,1,1,1,-,1,-,-,,,
261130 POMBOS,,,12,-,-,2,-,-,-,-,,,
261140 PRIMAVERA,,,-,-,-,-,-,-,-,-,,,
261150 QUIPAPA,,,1,2,3,3,1,2,2,-,,,
261153 QUIXABA,,,-,-,-,-,-,-,-,-,,,
261160 RECIFE,,,3198,2654,2273,2108,1851,1866,1736,798,,,
261170 RIACHO DAS ALMAS,,,4,-,2,-,-,3,2,2,,,
261180 RIBEIRAO,,,-,-,-,-,-,-,-,-,,,
261190 RIO FORMOSO,,,-,-,-,-,-,-,-,-,,,
261200 SAIRE,,,2,2,1,2,3,-,1,-,,,
261210 SALGADINHO,,,-,-,-,-,-,-,-,-,,,
261220 SALGUEIRO,,,66,65,76,51,57,57,54,36,,,
261230 SALOA,,,11,9,5,2,2,8,1,-,,,
261240 SANHARO,,,-,5,1,3,3,8,-,-,,,
261245 SANTA CRUZ,,,4,5,5,2,3,1,1,-,,,
261247 SANTA CRUZ DA BAIXA VERDE,,,10,3,2,9,-,-,6,-,,,
261250 SANTA CRUZ DO CAPIBARIBE,,,8,3,10,6,7,4,3,-,,,
261255 SANTA FILOMENA,,,8,7,1,-,-,-,-,-,,,
261260 SANTA MARIA DA BOA VISTA,,,23,11,5,5,2,3,5,4,,,
261270 SANTA MARIA DO CAMBUCA,,,-,-,-,-,-,-,-,-,,,
261280 SANTA TEREZINHA,,,-,-,-,-,-,-,-,-,,,
261290 SAO BENEDITO DO SUL,,,-,-,-,-,-,-,-,-,,,
261300 SAO BENTO DO UNA,,,15,14,8,12,10,17,8,-,,,
261310 SAO CAITANO,,,6,15,3,2,2,8,7,2,,,
261320 SAO JOAO,,,3,2,3,-,3,2,4,-,,,
261330 SAO JOAQUIM DO MONTE,,,1,5,1,-,2,-,-,-,,,
261340 SAO JOSE DA COROA GRANDE,,,-,-,-,-,-,-,-,-,,,
261350 SAO JOSE DO BELMONTE,,,-,1,3,-,3,5,7,-,,,
261360 SAO JOSE DO EGITO,,,3,9,2,4,4,6,4,4,,,
261370 SAO LOURENCO DA MATA,,,24,17,22,27,15,30,48,13,,,
261380 SAO VICENTE FERRER,,,2,1,-,-,-,-,-,-,,,
261390 SERRA TALHADA,,,149,127,68,63,70,47,37,36,,,
261400 SERRITA,,,7,14,4,8,4,3,-,-,,,
261410 SERTANIA,,,18,18,7,15,23,11,18,4,,,
261420 SIRINHAEM,,,3,6,1,1,-,1,2,1,,,
261430 MOREILANDIA,,,4,-,3,2,2,4,1,-,,,
261440 SOLIDAO,,,1,4,-,-,-,-,-,-,,,
261450 SURUBIM,,,6,4,8,4,10,9,11,8,,,
261460 TABIRA,,,1,7,6,2,2,4,1,1,,,
261470 TACAIMBO,,,-,-,-,-,-,-,-,-,,,
261480 TACARATU,,,3,-,1,3,1,1,1,-,,,
261485 TAMANDARE,,,-,-,1,-,-,-,-,-,,,
261500 TAQUARITINGA DO NORTE,,,6,7,4,-,4,1,2,2,,,
261510 TEREZINHA,,,1,-,1,-,-,1,2,-,,,
261520 TERRA NOVA,,,7,8,4,6,4,5,3,2,,,
261530 TIMBAUBA,,,-,-,-,-,-,-,-,-,,,
261540 TORITAMA,,,3,1,3,-,-,-,-,-,,,
261550 TRACUNHAEM,,,-,-,-,-,-,-,-,-,,,
261560 TRINDADE,,,5,6,1,5,2,4,4,-,,,
261570 TRIUNFO,,,-,1,8,3,2,1,-,-,,,
261580 TUPANATINGA,,,4,4,2,3,1,5,6,-,,,
261590 TUPARETAMA,,,1,-,1,-,-,1,-,-,,,
261600 VENTUROSA,,,8,4,2,4,-,2,1,-,,,
261610 VERDEJANTE,,,2,6,1,1,1,2,3,2,,,
261618 VERTENTE DO LERIO,,,-,-,-,-,-,-,-,-,,,
261620 VERTENTES,,,2,7,4,4,1,3,4,1,,,
261630 VICENCIA,,,-,-,-,1,-,2,4,-,,,
261640 VITORIA DE SANTO ANTAO,,,161,108,55,59,71,66,102,24,,,
261650 XEXEU,,,-,-,-,-,-,-,-,-,,,
270010 AGUA BRANCA,,,1,-,-,-,-,-,-,-,,,
270020 ANADIA,,,-,-,-,-,-,-,-,-,,,
270030 ARAPIRACA,,,154,182,82,69,53,67,64,45,,,
270040 ATALAIA,,,-,-,6,2,11,4,1,-,,,
270050 BARRA DE SANTO ANTONIO,,,-,-,-,-,-,-,-,-,,,
270060 BARRA DE SAO MIGUEL,,,-,-,-,-,-,-,-,-,,,
270070 BATALHA,,,-,-,2,2,3,1,2,1,,,
270080 BELEM,,,-,-,-,-,-,-,-,-,,,
270090 BELO MONTE,,,-,-,-,-,-,-,-,-,,,
270100 BOCA DA MATA,,,-,-,-,-,-,-,-,-,,,
270110 BRANQUINHA,,,-,-,-,-,-,-,-,-,,,
270120 CACIMBINHAS,,,-,-,-,-,-,-,-,-,,,
270130 CAJUEIRO,,,-,-,-,-,-,-,-,-,,,
270135 CAMPESTRE,,,-,-,-,-,-,-,-,-,,,
270140 CAMPO ALEGRE,,,7,10,4,2,9,4,5,8,,,
270150 CAMPO GRANDE,,,-,-,-,-,-,-,-,-,,,
270160 CANAPI,,,-,-,-,-,-,-,-,-,,,
270170 CAPELA,,,-,-,-,-,1,9,2,-,,,
270180 CARNEIROS,,,-,-,-,-,-,-,-,-,,,
270190 CHA PRETA,,,-,-,-,-,-,-,-,-,,,
270200 COITE DO NOIA,,,-,-,-,-,-,-,-,-,,,
270210 COLONIA LEOPOLDINA,,,-,-,-,-,-,-,-,-,,,
270220 COQUEIRO SECO,,,-,-,-,-,-,-,-,-,,,
270230 CORURIPE,,,9,9,10,3,1,-,-,-,,,
270235 CRAIBAS,,,-,-,-,-,-,-,-,-,,,
270240 DELMIRO GOUVEIA,,,8,17,3,1,3,7,-,-,,,
270250 DOIS RIACHOS,,,-,-,-,-,-,-,-,-,,,
270255 ESTRELA DE ALAGOAS,,,-,-,-,-,-,-,-,-,,,
270260 FEIRA GRANDE,,,-,-,-,-,-,-,-,-,,,
270270 FELIZ DESERTO,,,-,-,-,-,-,-,-,-,,,
270280 FLEXEIRAS,,,-,-,-,-,-,-,-,-,,,
270290 GIRAU DO PONCIANO,,,-,-,-,-,-,-,-,-,,,
270300 IBATEGUARA,,,-,-,-,-,-,-,-,-,,,
270310 IGACI,,,-,-,-,-,-,-,-,-,,,
270320 IGREJA NOVA,,,-,-,-,-,-,-,-,-,,,
270330 INHAPI,,,-,-,-,-,-,-,-,-,,,
270340 JACARE DOS HOMENS,,,-,-,-,-,-,-,-,-,,,
270350 JACUIPE,,,-,-,-,-,-,-,-,-,,,
270360 JAPARATINGA,,,-,-,-,-,-,-,-,-,,,
270370 JARAMATAIA,,,-,-,-,-,-,-,-,-,,,
270375 JEQUIA DA PRAIA,,,-,-,-,-,-,-,-,-,,,
270380 JOAQUIM GOMES,,,-,-,1,1,-,-,-,-,,,
270390 JUNDIA,,,-,-,-,-,-,-,-,-,,,
270400 JUNQUEIRO,,,4,4,2,4,6,5,7,-,,,
270410 LAGOA DA CANOA,,,-,-,-,-,-,-,-,-,,,
270420 LIMOEIRO DE ANADIA,,,3,-,-,-,-,-,-,-,,,
270430 MACEIO,,,583,515,390,361,316,447,454,251,,,
270440 MAJOR ISIDORO,,,-,-,-,-,-,-,-,-,,,
270450 MARAGOGI,,,-,-,-,-,-,-,-,-,,,
270460 MARAVILHA,,,-,-,-,-,-,-,-,-,,,
270470 MARECHAL DEODORO,,,-,-,-,-,-,-,-,-,,,
270480 MARIBONDO,,,-,-,-,-,-,-,-,-,,,
270490 MAR VERMELHO,,,-,-,-,-,-,-,-,-,,,
270500 MATA GRANDE,,,2,3,-,3,8,4,-,-,,,
270510 MATRIZ DE CAMARAGIBE,,,-,-,-,1,1,1,1,4,,,
270520 MESSIAS,,,-,-,-,-,-,-,-,-,,,
270530 MINADOR DO NEGRAO,,,-,-,-,-,-,-,-,-,,,
270540 MONTEIROPOLIS,,,-,-,-,-,-,-,-,-,,,
270550 MURICI,,,-,-,-,-,-,-,-,-,,,
270560 NOVO LINO,,,-,-,-,-,-,-,-,-,,,
270570 OLHO D'AGUA DAS FLORES,,,-,-,-,-,-,-,-,-,,,
270580 OLHO D'AGUA DO CASADO,,,-,-,-,-,-,-,-,-,,,
270590 OLHO D'AGUA GRANDE,,,-,-,-,-,-,-,-,-,,,
270600 OLIVENCA,,,-,-,-,-,-,-,-,-,,,
270610 OURO BRANCO,,,-,-,-,-,-,-,-,-,,,
270620 PALESTINA,,,-,-,-,-,-,-,-,-,,,
270630 PALMEIRA DOS INDIOS,,,3,6,1,3,10,10,7,-,,,
270640 PAO DE ACUCAR,,,3,1,2,3,6,6,6,5,,,
270642 PARICONHA,,,-,-,-,-,-,-,-,-,,,
270644 PARIPUEIRA,,,-,-,-,-,-,-,-,-,,,
270650 PASSO DE CAMARAGIBE,,,-,-,-,-,-,-,-,-,,,
270660 PAULO JACINTO,,,-,-,-,-,-,-,-,-,,,
270670 PENEDO,,,9,8,10,17,16,16,5,-,,,
270680 PIACABUCU,,,-,-,-,-,-,-,-,-,,,
270690 PILAR,,,10,5,12,27,56,46,19,25,,,
270700 PINDOBA,,,-,-,-,-,-,-,-,-,,,
270710 PIRANHAS,,,15,6,13,12,17,9,14,-,,,
270720 POCO DAS TRINCHEIRAS,,,-,-,-,-,-,-,-,-,,,
270730 PORTO CALVO,,,24,5,4,9,11,7,-,-,,,
270740 PORTO DE PEDRAS,,,-,-,-,-,-,-,-,-,,,
270750 PORTO REAL DO COLEGIO,,,-,-,-,-,-,-,-,-,,,
270760 QUEBRANGULO,,,1,2,3,-,6,2,1,4,,,
270770 RIO LARGO,,,3,2,1,1,1,5,-,-,,,
270780 ROTEIRO,,,-,-,-,-,-,-,-,-,,,
270790 SANTA LUZIA DO NORTE,,,-,-,-,-,-,-,-,-,,,
270800 SANTANA DO IPANEMA,,,54,57,29,30,24,25,36,30,,,
270810 SANTANA DO MUNDAU,,,-,-,-,-,-,-,-,-,,,
270820 SAO BRAS,,,-,-,-,-,-,-,-,-,,,
270830 SAO JOSE DA LAJE,,,2,-,5,-,5,2,1,1,,,
270840 SAO JOSE DA TAPERA,,,1,4,2,-,3,1,6,3,,,
270850 SAO LUIS DO QUITUNDE,,,1,-,-,-,-,1,-,-,,,
270860 SAO MIGUEL DOS CAMPOS,,,11,13,22,12,19,18,10,-,,,
270870 SAO MIGUEL DOS MILAGRES,,,-,-,-,-,-,-,-,-,,,
270880 SAO SEBASTIAO,,,-,-,-,-,-,-,-,-,,,
270890 SATUBA,,,-,-,-,-,-,-,-,-,,,
270895 SENADOR RUI PALMEIRA,,,-,-,-,-,-,-,-,-,,,
270900 TANQUE D'ARCA,,,-,-,-,-,-,-,-,-,,,
270910 TAQUARANA,,,-,-,-,-,-,-,-,-,,,
270915 TEOTONIO VILELA,,,19,11,14,23,18,26,7,-,,,
270920 TRAIPU,,,-,-,-,-,-,-,-,-,,,
270930 UNIAO DOS PALMARES,,,32,8,5,11,14,5,1,-,,,
270940 VICOSA,,,3,2,3,1,7,7,-,2,,,
280010 AMPARO DE SAO FRANCISCO,,,-,-,-,-,-,-,-,-,,,
280020 AQUIDABA,,,37,34,51,52,42,14,70,48,,,
280030 ARACAJU,,,307,270,224,194,180,174,149,54,,,
