Município;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago
421880 TURVO;5;7;30;32;18;20;7;5;6;7;5;3;5;6;1;2;2;2;2;2
421885 UNIAO DO OESTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
421890 URUBICI;-;2;27;27;22;18;1;2;2;-;-;-;7;4;-;-;1;2;2;-
421895 URUPEMA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
421900 URUSSANGA;7;18;33;20;20;36;6;3;4;1;3;-;10;8;1;2;2;2;2;3
421910 VARGEAO;-;-;-;-;-;-;1;-;1;1;-;-;-;-;-;-;4;1;-;-
421915 VARGEM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
421917 VARGEM BONITA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
421920 VIDAL RAMOS;-;1;1;-;-;-;1;-;1;2;-;1;1;1;2;1;-;-;1;1
421930 VIDEIRA;46;66;92;88;69;76;41;27;21;16;17;12;46;37;24;20;14;9;11;11
421935 VITOR MEIRELES;3;1;5;4;3;2;2;6;2;4;2;1;1;-;1;2;3;1;1;-
421940 WITMARSUM;-;-;1;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-
421950 XANXERE;82;157;152;76;85;116;69;71;66;51;47;23;30;56;25;22;21;12;11;4
421960 XAVANTINA;3;-;-;-;2;5;1;-;5;7;7;9;12;2;13;18;5;3;1;1
421970 XAXIM;35;104;90;35;61;73;44;63;59;7;26;23;46;30;28;26;28;43;28;29
421985 ZORTEA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
422000 BALNEARIO RINCAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430003 ACEGUA;2;4;7;26;2;11;-;2;1;10;5;4;6;5;4;3;7;3;5;7
430005 AGUA SANTA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430010 AGUDO;36;33;50;61;70;38;17;15;19;13;11;18;18;15;6;4;2;1;-;-
430020 AJURICABA;-;6;19;7;11;10;3;4;4;6;5;2;2;2;6;1;2;-;-;-
430030 ALECRIM;18;23;28;13;9;14;8;5;6;2;3;4;7;15;3;6;5;7;2;4
430040 ALEGRETE;92;93;218;117;127;102;51;37;27;46;49;37;63;48;40;37;43;20;32;17
430045 ALEGRIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430047 ALMIRANTE TAMANDARE DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430050 ALPESTRE;4;6;13;6;7;22;9;6;9;4;5;2;7;6;5;6;3;6;2;-
430055 ALTO ALEGRE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430057 ALTO FELIZ;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430060 ALVORADA;118;153;346;164;112;101;61;71;56;48;56;52;87;46;45;50;39;50;36;16
430063 AMARAL FERRADOR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430064 AMETISTA DO SUL;14;27;30;8;24;25;12;14;8;11;13;9;16;11;18;23;5;-;-;-
430066 ANDRE DA ROCHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430070 ANTA GORDA;16;11;12;6;9;8;7;5;8;7;9;5;5;7;6;4;4;4;7;2
430080 ANTONIO PRADO;11;10;22;21;35;24;5;3;6;2;2;5;13;2;2;3;1;1;5;2
430085 ARAMBARE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430087 ARARICA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430090 ARATIBA;15;12;18;7;7;14;6;3;10;3;5;7;20;25;11;13;2;2;3;2
430100 ARROIO DO MEIO;20;38;75;35;32;24;17;9;13;5;10;5;15;11;28;14;18;13;15;3
430105 ARROIO DO SAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430107 ARROIO DO PADRE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430110 ARROIO DOS RATOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430120 ARROIO DO TIGRE;35;29;59;42;32;33;22;12;13;26;26;17;20;21;17;14;12;6;-;-
430130 ARROIO GRANDE;17;26;47;27;9;21;5;1;1;9;7;6;3;10;6;4;12;7;5;4
430140 ARVOREZINHA;8;22;27;19;13;6;10;6;8;7;6;2;10;13;5;9;7;9;1;2
430150 AUGUSTO PESTANA;1;-;5;8;6;9;1;1;-;1;-;2;-;-;-;2;3;-;1;-
430155 AUREA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430160 BAGE;75;47;166;143;177;136;45;27;29;46;45;39;71;77;43;23;40;43;34;21
430163 BALNEARIO PINHAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430165 BARAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430170 BARAO DE COTEGIPE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430175 BARAO DO TRIUNFO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430180 BARRACAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430185 BARRA DO GUARITA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430187 BARRA DO QUARAI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430190 BARRA DO RIBEIRO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430192 BARRA DO RIO AZUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430195 BARRA FUNDA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430200 BARROS CASSAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430205 BENJAMIN CONSTANT DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430210 BENTO GONCALVES;42;45;92;57;56;52;41;46;49;49;38;26;54;43;36;29;35;32;22;9
430215 BOA VISTA DAS MISSOES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430220 BOA VISTA DO BURICA;4;8;33;4;17;17;4;6;7;2;6;-;4;6;28;58;28;1;-;-
430222 BOA VISTA DO CADEADO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430223 BOA VISTA DO INCRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430225 BOA VISTA DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430230 BOM JESUS;6;4;10;16;24;18;4;2;-;1;6;3;4;4;5;2;-;-;-;-
430235 BOM PRINCIPIO;13;11;28;15;23;14;16;4;9;4;4;4;4;4;7;2;8;4;2;1
430237 BOM PROGRESSO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430240 BOM RETIRO DO SUL;15;24;32;50;34;29;11;22;18;18;14;12;14;17;13;18;11;7;6;1
430245 BOQUEIRAO DO LEAO;10;46;32;13;12;9;3;5;-;-;4;6;12;2;2;3;1;-;-;-
430250 BOSSOROCA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430258 BOZANO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430260 BRAGA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430265 BROCHIER;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430270 BUTIA;-;3;72;13;13;13;4;2;-;-;-;1;1;2;-;-;-;-;-;-
430280 CACAPAVA DO SUL;23;26;96;46;60;67;14;7;4;17;16;8;26;16;15;16;18;11;12;10
430290 CACEQUI;2;3;8;9;9;6;2;-;3;1;1;2;5;11;11;6;4;12;3;3
430300 CACHOEIRA DO SUL;33;30;108;73;116;85;33;27;33;38;47;34;42;37;29;39;31;27;23;-
430310 CACHOEIRINHA;69;90;164;77;77;63;55;42;45;43;28;22;51;56;31;31;30;14;8;4
430320 CACIQUE DOBLE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430330 CAIBATE;4;6;18;3;15;16;10;4;11;6;9;2;11;6;9;4;6;5;3;3
430340 CAICARA;1;3;13;2;6;8;7;2;-;2;3;5;3;3;2;4;2;1;1;-
430350 CAMAQUA;76;93;168;115;113;117;86;37;32;44;42;38;51;57;36;42;45;78;44;-
430355 CAMARGO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430360 CAMBARA DO SUL;-;1;28;18;7;2;5;1;-;-;1;-;3;2;2;1;1;-;-;-
430367 CAMPESTRE DA SERRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430370 CAMPINA DAS MISSOES;9;9;9;10;9;8;8;6;3;6;1;12;7;5;6;7;9;5;5;2
430380 CAMPINAS DO SUL;-;4;15;2;19;21;14;5;5;2;2;3;4;5;6;5;6;2;-;-
430390 CAMPO BOM;33;60;124;58;57;50;21;19;17;22;24;17;29;20;12;25;15;18;28;22
430400 CAMPO NOVO;3;3;28;9;48;20;2;-;1;12;4;7;5;6;6;3;-;1;2;2
430410 CAMPOS BORGES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430420 CANDELARIA;24;22;76;55;50;24;16;8;7;15;13;16;27;24;11;15;9;7;5;-
430430 CANDIDO GODOI;16;11;31;7;41;18;11;11;9;11;16;13;16;13;3;2;4;3;-;1
430435 CANDIOTA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430440 CANELA;46;143;108;20;13;29;26;20;14;17;14;12;26;13;15;10;11;5;5;4
430450 CANGUCU;22;18;58;46;67;47;32;24;21;26;24;28;26;36;21;18;17;21;7;6
430460 CANOAS;540;623;1165;692;611;524;395;406;414;433;430;416;483;368;539;442;428;356;216;65
430461 CANUDOS DO VALE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430462 CAPAO BONITO DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430463 CAPAO DA CANOA;37;42;92;61;44;35;17;21;24;25;17;23;30;25;16;12;11;7;19;2
430465 CAPAO DO CIPO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430466 CAPAO DO LEAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430467 CAPIVARI DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430468 CAPELA DE SANTANA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430469 CAPITAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430470 CARAZINHO;36;71;124;109;160;125;55;19;19;10;20;21;45;41;14;23;25;17;14;-
430471 CARAA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430480 CARLOS BARBOSA;9;14;31;33;21;27;18;13;7;5;3;7;12;4;9;6;8;1;1;-
430485 CARLOS GOMES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430490 CASCA;7;11;14;4;7;18;8;1;4;3;-;-;5;8;-;1;2;3;2;-
430495 CASEIROS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430500 CATUIPE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430510 CAXIAS DO SUL;202;239;469;318;287;313;201;139;146;175;131;68;164;134;64;71;83;44;52;16
430511 CENTENARIO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430512 CERRITO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430513 CERRO BRANCO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430515 CERRO GRANDE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430517 CERRO GRANDE DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430520 CERRO LARGO;6;8;29;15;30;22;10;2;6;6;7;8;13;10;8;6;5;3;3;6
430530 CHAPADA;5;6;8;25;22;7;2;1;1;-;-;1;4;4;3;3;3;2;1;3
430535 CHARQUEADAS;50;37;103;74;70;67;26;13;28;23;16;13;26;30;12;9;9;10;6;-
430537 CHARRUA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430540 CHIAPETTA;5;11;24;2;14;11;-;3;3;1;2;4;8;11;6;1;5;3;1;-
430543 CHUI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430544 CHUVISCA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430545 CIDREIRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430550 CIRIACO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430558 COLINAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430560 COLORADO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430570 CONDOR;7;9;16;4;11;13;10;7;7;13;9;9;6;9;12;8;10;5;9;4
430580 CONSTANTINA;13;15;23;19;33;19;12;6;7;4;4;8;4;7;14;16;12;5;5;-
430583 COQUEIRO BAIXO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430585 COQUEIROS DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430587 CORONEL BARROS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430590 CORONEL BICACO;3;13;30;6;15;13;6;4;8;8;4;12;9;3;6;2;7;-;1;2
430593 CORONEL PILAR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430595 COTIPORA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430597 COXILHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430600 CRISSIUMAL;7;11;29;16;21;17;6;4;10;9;11;3;13;11;12;6;4;8;11;2
430605 CRISTAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430607 CRISTAL DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430610 CRUZ ALTA;70;109;159;111;120;129;58;36;27;31;29;38;61;67;36;31;32;36;38;37
430613 CRUZALTENSE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430620 CRUZEIRO DO SUL;3;5;23;4;3;7;3;1;2;2;3;3;3;2;1;3;1;2;1;-
430630 DAVID CANABARRO;11;35;30;12;25;30;10;8;6;5;1;3;3;5;1;-;1;11;5;-
430632 DERRUBADAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430635 DEZESSEIS DE NOVEMBRO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430637 DILERMANDO DE AGUIAR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430640 DOIS IRMAOS;13;34;70;19;19;31;12;6;9;10;10;9;3;7;18;14;9;5;1;-
430642 DOIS IRMAOS DAS MISSOES;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430645 DOIS LAJEADOS;14;15;25;21;12;17;20;20;22;24;28;23;35;41;18;14;23;34;10;12
430650 DOM FELICIANO;8;4;15;6;17;22;9;10;13;7;9;15;7;7;10;6;7;1;6;-
430655 DOM PEDRO DE ALCANTARA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430660 DOM PEDRITO;61;61;101;85;76;79;57;34;31;26;38;26;48;39;39;21;37;28;29;20
430670 DONA FRANCISCA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430673 DOUTOR MAURICIO CARDOSO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430675 DOUTOR RICARDO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430676 ELDORADO DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430680 ENCANTADO;19;40;96;34;20;18;18;17;6;9;16;8;27;12;8;7;-;-;-;-
430690 ENCRUZILHADA DO SUL;11;15;45;28;39;27;22;10;11;10;6;8;10;15;7;7;8;12;4;1
430692 ENGENHO VELHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430693 ENTRE-IJUIS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430695 ENTRE RIOS DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430697 EREBANGO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430700 ERECHIM;71;93;205;104;144;145;95;39;40;36;38;31;50;52;31;34;25;25;7;6
430705 ERNESTINA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430710 HERVAL;2;-;16;2;2;5;9;2;3;2;5;-;14;5;2;1;-;-;-;-
430720 ERVAL GRANDE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430730 ERVAL SECO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430740 ESMERALDA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430745 ESPERANCA DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430750 ESPUMOSO;18;22;32;32;22;23;17;7;-;2;5;3;5;4;4;1;2;4;3;-
430755 ESTACAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430760 ESTANCIA VELHA;19;25;91;44;30;28;17;11;11;23;5;3;18;22;56;63;25;9;1;-
430770 ESTEIO;50;107;159;90;58;56;46;28;34;31;39;30;36;51;26;30;38;20;16;6
430780 ESTRELA;41;38;63;45;41;35;29;25;20;17;15;16;33;33;27;44;51;31;8;-
430781 ESTRELA VELHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430783 EUGENIO DE CASTRO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430786 FAGUNDES VARELA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430790 FARROUPILHA;59;75;98;53;76;93;68;64;58;55;38;28;34;40;25;29;20;27;22;14
430800 FAXINAL DO SOTURNO;11;11;49;31;36;30;18;3;3;6;1;3;6;5;4;9;11;2;6;1
430805 FAXINALZINHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430807 FAZENDA VILANOVA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430810 FELIZ;7;20;56;20;25;19;19;20;9;23;12;18;31;21;16;15;28;7;17;11
430820 FLORES DA CUNHA;10;12;32;20;22;22;10;16;9;5;5;6;6;4;4;3;4;1;-;2
430825 FLORIANO PEIXOTO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430830 FONTOURA XAVIER;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430840 FORMIGUEIRO;-;-;-;-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-
430843 FORQUETINHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430845 FORTALEZA DOS VALOS;1;3;11;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430850 FREDERICO WESTPHALEN;48;65;135;57;69;46;33;27;25;38;37;29;38;31;32;27;22;20;13;-
430860 GARIBALDI;20;22;61;48;39;34;30;42;17;16;8;6;11;13;5;3;6;5;6;4
430865 GARRUCHOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430870 GAURAMA;6;6;7;3;10;11;3;6;4;2;2;-;5;3;2;1;-;-;2;-
430880 GENERAL CAMARA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430885 GENTIL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430890 GETULIO VARGAS;16;20;42;34;44;47;13;12;5;16;9;8;19;19;11;4;8;7;5;-
430900 GIRUA;25;27;35;26;35;31;19;11;14;12;9;20;18;19;11;8;6;-;-;-
430905 GLORINHA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430910 GRAMADO;64;114;133;29;37;34;40;23;14;19;4;17;15;12;16;3;19;6;4;-
430912 GRAMADO DOS LOUREIROS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430915 GRAMADO XAVIER;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430920 GRAVATAI;89;174;361;180;132;126;90;59;59;62;56;48;68;60;32;26;29;28;23;8
430925 GUABIJU;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-
430930 GUAIBA;-;-;145;45;38;41;26;27;13;24;14;10;39;32;24;13;25;22;12;-
430940 GUAPORE;9;13;55;10;25;21;20;6;13;6;-;1;13;4;4;2;2;1;1;-
430950 GUARANI DAS MISSOES;5;6;17;8;27;18;9;4;5;11;1;5;27;10;8;12;7;7;3;3
430955 HARMONIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430957 HERVEIRAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430960 HORIZONTINA;18;15;40;37;40;41;21;18;7;7;13;23;22;21;34;30;26;17;15;8
430965 HULHA NEGRA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430970 HUMAITA;-;-;4;5;12;6;15;3;1;-;2;1;1;1;-;-;-;-;-;-
430975 IBARAMA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430980 IBIACA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430990 IBIRAIARAS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
430995 IBIRAPUITA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431000 IBIRUBA;5;16;54;43;62;14;11;11;6;9;8;8;21;13;6;4;1;-;1;1
431010 IGREJINHA;31;47;92;50;28;49;28;17;27;24;23;17;18;27;71;53;29;16;12;7
431020 IJUI;40;56;212;149;163;135;79;32;26;32;42;33;58;32;27;25;16;29;11;6
431030 ILOPOLIS;5;11;16;6;7;4;5;3;1;4;3;2;6;1;5;4;-;3;1;-
431033 IMBE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431036 IMIGRANTE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431040 INDEPENDENCIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431041 INHACORA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431043 IPE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431046 IPIRANGA DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431050 IRAI;4;5;7;8;3;5;4;-;3;4;15;5;9;5;11;6;5;3;11;1
431053 ITAARA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431055 ITACURUBI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431057 ITAPUCA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431060 ITAQUI;20;26;40;39;74;52;19;9;4;2;11;10;13;13;10;4;6;6;8;4
431065 ITATI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431070 ITATIBA DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431075 IVORA;5;4;4;1;5;2;-;-;-;1;-;2;-;1;1;-;1;1;1;2
431080 IVOTI;12;23;74;26;22;17;9;4;10;14;4;7;4;11;3;7;4;11;4;2
431085 JABOTICABA;1;8;13;6;6;19;7;1;-;1;1;2;3;1;32;30;6;3;2;1
431087 JACUIZINHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431090 JACUTINGA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431100 JAGUARAO;5;19;73;15;16;14;8;5;1;3;2;5;9;6;4;4;6;3;6;1
431110 JAGUARI;13;16;26;23;47;25;13;6;8;3;3;7;17;8;10;11;11;3;1;2
431112 JAQUIRANA;2;1;3;1;3;3;-;-;-;-;-;-;-;1;3;-;-;-;-;-
431113 JARI;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431115 JOIA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431120 JULIO DE CASTILHOS;12;16;64;26;23;22;8;4;2;3;4;5;7;4;8;6;6;3;2;1
431123 LAGOA BONITA DO SUL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431125 LAGOAO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431127 LAGOA DOS TRES CANTOS;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431130 LAGOA VERMELHA;24;42;81;82;88;58;26;10;5;5;4;2;17;24;5;2;4;-;1;-
431140 LAJEADO;43;109;187;58;59;77;58;19;44;21;27;20;53;22;13;34;37;18;10;1
431142 LAJEADO DO BUGRE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431150 LAVRAS DO SUL;3;2;4;1;-;-;-;-;-;-;-;-;-;-;2;-;2;-;-;-
431160 LIBERATO SALZANO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431162 LINDOLFO COLLOR;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431164 LINHA NOVA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431170 MACHADINHO;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431171 MACAMBARA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431173 MAMPITUBA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431175 MANOEL VIANA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431177 MAQUINE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431179 MARATA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431180 MARAU;20;31;49;30;38;55;18;8;9;6;3;-;10;12;3;1;3;1;2;1
431190 MARCELINO RAMOS;2;-;15;25;18;17;6;-;1;-;2;3;5;18;5;13;6;2;-;-
